	filename	is_atleast_one_mobile_tower_detected	precision (greater than threshold)	recall	result_scores_class_1	result_tp_fp_labels_class_1
0	/media/ssd1/cell_data/v5/2904	1	1.0	1.0	0.94026118516922 - 1.714908103167545e-05 - 1.0586824828351382e-05 - 9.698389476398006e-06 - 2.1736620965384645e-06 - 5.770785378444998e-07 - 5.430180181065225e-07 - 4.3823729356518015e-07 - 4.1866211830665634e-08 - 3.147498617295241e-08 - 2.4261613162934736e-08 - 1.0239805531275792e-10	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
1	/media/ssd1/cell_data/v5/3675	1		1.0	0.105266273021698 - 0.037782955914735794 - 0.01427328959107399 - 8.717318996787071e-05 - 2.3345077352132648e-05 - 1.9478069589240476e-05 - 1.672472535574343e-05 - 1.0060308341053315e-05 - 3.7992560919519747e-06 - 2.466960268066032e-06 - 1.2461205187719315e-06 - 1.0555676226431387e-06 - 4.7026088623169926e-07 - 1.0760564883582902e-08	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
2	/media/ssd1/cell_data/v5/2050	1	1.0	1.0	0.8074246048927307 - 9.99016992864199e-06 - 6.694172043353319e-06 - 1.1976968607996241e-06 - 1.367067596902416e-07 - 6.922598316805306e-08 - 4.864241631707955e-08 - 4.115130636250797e-08 - 3.733336839673029e-08 - 3.4749309207882106e-08 - 2.7271822133911883e-08 - 2.3420938077833853e-08 - 2.2141238176232036e-08 - 2.1675043981872477e-08 - 1.6304204208950068e-08 - 1.1118288512079744e-08 - 7.603926377441894e-09 - 3.6855496432508517e-09	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
3	/media/ssd1/cell_data/v5/135	0		0.0	2.4498345737811178e-05 - 1.0741518053691834e-05 - 7.3398373388045e-06 - 2.656782044141437e-06 - 1.4830197869741824e-06 - 9.13372389277356e-07 - 4.991613877791679e-07 - 1.3707752088976122e-07 - 7.040752336706646e-08 - 5.505404132577496e-08 - 2.3523730519059427e-08 - 2.1819849038706707e-08 - 1.9394024164398616e-08 - 1.7623298376179264e-08 - 1.7481118774753668e-08 - 1.0809976913606079e-08 - 8.537526241525484e-09 - 8.358322922674688e-09 - 8.325244493789796e-09 - 7.617441788454471e-09 - 6.507271166356077e-09	0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
4	/media/ssd1/cell_data/v5/1553	1	1.0	1.0	1.0 - 9.149336619884707e-06 - 1.3672843124368228e-06 - 8.205325343624281e-07 - 8.748314428430604e-08 - 6.345013758846108e-08 - 4.666684461085424e-08 - 4.5882565302690637e-08 - 1.7940749330591643e-08 - 1.3797298414885972e-08 - 1.1218000750545798e-08 - 1.083867395834659e-08 - 8.777560012163121e-09 - 5.946391823385966e-09 - 4.167553857570283e-09 - 3.830333827892218e-09 - 3.753076072143813e-09 - 3.432388817614651e-09 - 1.333466448372178e-09 - 1.2212723055071706e-09 - 7.626319575848584e-10 - 4.1799544381326825e-10 - 3.2802893734640293e-10 - 3.2790381521152767e-10 - 2.6721569401644274e-10	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
5	/media/ssd1/cell_data/v5/398	1	1.0	1.0	1.0 - 0.9999709129333496 - 0.02382722869515419 - 1.2791292647307273e-05 - 6.002722443554376e-07 - 3.9658405626141757e-07 - 2.693945475584769e-07 - 2.2159368029406323e-07 - 1.3325039560641017e-07 - 9.899760300413618e-08 - 4.924406127315706e-08 - 4.6334690750882146e-08 - 1.6267582836348993e-08 - 7.718954364577257e-10 - 9.271684114908751e-11	1.0 - 1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
6	/media/ssd1/cell_data/v5/137	1		1.0	0.005008392501622438 - 2.899780884035863e-05 - 7.67027449910529e-06 - 5.67440429222188e-06 - 4.927906047669239e-06 - 2.6630705178831704e-06 - 9.400814064974838e-07 - 6.13599581811286e-07 - 3.0266545536505873e-07 - 2.168700063975848e-07 - 1.7631528237416205e-07 - 1.7584056877240073e-07 - 1.1314725867350717e-07 - 9.766357322860131e-08 - 5.1649674759346453e-08	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
7	/media/ssd1/cell_data/v5/3222	1	1.0	1.0	0.9999996423721313 - 0.9999988079071045 - 0.9999985694885254 - 4.6840403228998184e-05 - 2.9612054277095012e-05 - 4.344217359175673e-06 - 4.290217020752607e-06 - 1.6668758462401456e-06 - 9.274691592509043e-07 - 6.748230418907042e-08 - 3.553071437067956e-08 - 2.104262186719552e-08 - 1.2474945521034897e-09	1.0 - 1.0 - 1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
8	/media/ssd1/cell_data/v5/2663	1	1.0	1.0	1.0 - 0.9999996423721313 - 0.9999990463256836 - 1.510621041234117e-05 - 8.672139415466518e-07 - 4.957163355356897e-07 - 2.944106540780922e-07 - 8.238495041723581e-08 - 3.4211094401825903e-08 - 2.314176406059687e-08 - 1.826632178847376e-08 - 1.730357723772613e-08 - 1.1730404203547096e-08 - 6.094295734726529e-09 - 3.6100826772411665e-09 - 1.6203812736037548e-09 - 9.178013904431737e-10 - 4.387143703876717e-10	1.0 - 1.0 - 1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
9	/media/ssd1/cell_data/v5/1606	1		1.0	0.017777299508452415 - 5.179416257306002e-05 - 2.2668635210720822e-05 - 7.287826065294212e-06 - 6.850971658423077e-06 - 6.635139015997993e-06 - 4.752626409754157e-06 - 3.7197758047113894e-06 - 1.2691572237599757e-06 - 2.5687674565233465e-07 - 2.3042230168357491e-07 - 1.0048408327634206e-08 - 7.671768997852269e-09 - 3.778603208104414e-09 - 1.885851474980882e-09 - 1.3730608872108974e-09 - 6.947141750757169e-10 - 6.817126307900878e-10	1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
10	/media/ssd1/cell_data/v5/611	1	1.0	1.0	1.0 - 1.0 - 0.9999876022338867 - 0.1024971529841423 - 1.9094943127129227e-05 - 2.053257958323229e-06 - 9.39004451083747e-07 - 7.410831130982842e-07 - 1.0618948209639711e-07 - 5.481577147747885e-08 - 1.936969029614488e-09 - 4.4969694743164645e-13	1.0 - 1.0 - 1.0 - 1.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0 - 0.0
